Name,State,year,District,Party,Amount,2016,2018
"Representative Westmoreland, Lynn A.",Georgia,House: 2005-2017,3,Republican,0,0,0
"Representative Wexton, Jennifer",Virginia,House: 2019-Present,10,Democratic,0,0,0
"Senator Whitehouse, Sheldon",Rhode Island,Senate: 2007-Present,,Democratic,41200,28000,13200
"Representative Whitfield, Ed",Kentucky,House: 1995-2016,1,Republican,0,0,0
"Senator Wicker, Roger F.",Mississippi,Senate: 2007-Present | House: 1995-2007,,Republican,23000,5500,17500
"Representative Wild, Susan",Pennsylvania,House: 2018-Present,7,Democratic,0,0,0
"Representative Williams, Roger",Texas,House: 2013-Present,25,Republican,0,0,0
"Representative Wilson, Frederica S.",Florida,House: 2011-Present,24,Democratic,3000,1500,1500
"Representative Wilson, Joe",South Carolina,House: 2001-Present,2,Republican,3000,3000,0
"Representative Wittman, Robert J.",Virginia,House: 2007-Present,1,Republican,0,0,0
"Representative Womack, Steve",Arkansas,House: 2011-Present,3,Republican,35900,14500,21400
"Representative Woodall, Rob",Georgia,House: 2011-Present,7,Republican,5000,4000,1000
"Representative Wright, Ron",Texas,House: 2019-Present,6,Republican,0,0,0
"Senator Wyden, Ron",Oregon,Senate: 1996-Present | House: 1981-1996,,Democratic,245750,145250,100500
"Representative Yarmuth, John A.",Kentucky,House: 2007-Present,3,Democratic,0,0,0
"Representative Yoder, Kevin",Kansas,House: 2011-2019,3,Republican,0,0,0
"Representative Yoho, Ted S.",Florida,House: 2013-Present,3,Republican,3000,2000,1000
"Representative Young, David",Iowa,House: 2015-2019,3,Republican,0,0,0
"Representative Young, Don",Alaska,House: 1973-Present,,Republican,0,0,0
"Senator Young, Todd",Indiana,Senate: 2017-Present | House: 2011-2017,,Republican,99500,57500,42000
"Representative Zeldin, Lee M.",New York,House: 2015-Present,1,Republican,20500,6000,14500
"Representative Zinke, Ryan K.",Montana,House: 2015-2017,,Republican,0,0,0
