Name,State,year,District,Party,Amount,first_amount,second_amount
"Representative Poe, Ted",Texas,House: 2005-2019,2,Republican,0.00,0,0
"Representative Poliquin, Bruce",Maine,House: 2015-2019,2,Republican,0.00,0,0
"Representative Polis, Jared",Colorado,House: 2009-2019,2,Democratic,0.00,0,0
"Representative Pompeo, Mike",Kansas,House: 2011-2017,4,Republican,0.00,0,0
"Representative Porter, Katie",California,House: 2019-Present,45,Democratic,0.00,0,0
"Senator Portman, Rob",Ohio,Senate: 2011-Present | House: 1993-2007,,Republican,0.00,,
"Representative Posey, Bill",Florida,House: 2009-Present,8,Republican,0.00,,
"Representative Pressley, Ayanna",Massachusetts,House: 2019-Present,7,Democratic,0.00,0,0
"Representative Price, David E.",North Carolina,"House: 1987-1995, 1997-Present",4,Democratic,0.00,,
"Representative Price, Tom",Georgia,House: 2005-2017,6,Republican,0.00,0,0
"Representative Quigley, Mike",Illinois,House: 2009-Present,5,Democratic,0.00,,
"Representative Radewagen, Aumua Amata Coleman",American Samoa,House: 2015-Present,,Republican,0.00,,
"Representative Rangel, Charles B.",New York,House: 1971-2017,13,Democratic,0.00,0,0
"Representative Raskin, Jamie",Maryland,House: 2017-Present,8,Democratic,0.00,,
"Representative Ratcliffe, John",Texas,House: 2015-Present,4,Republican,0.00,,
"Senator Reed, Jack",Rhode Island,Senate: 1997-Present | House: 1991-1997,,Democratic,0.00,,
"Representative Reed, Tom",New York,House: 2010-Present,23,Republican,0.00,,
"Representative Reichert, David G.",Washington,House: 2005-2019,8,Republican,0.00,0,0
"Senator Reid, Harry",Nevada,Senate: 1987-2017 | House: 1983-1987,,Democratic,0.00,0,0
"Representative Renacci, James B.",Ohio,House: 2011-2019,16,Republican,0.00,0,0
"Representative Reschenthaler, Guy",Pennsylvania,House: 2019-Present,14,Republican,0.00,,
"Representative Ribble, Reid J.",Wisconsin,House: 2011-2017,8,Republican,0.00,0,0
"Representative Rice, Kathleen M.",New York,House: 2015-Present,4,Democratic,0.00,,
"Representative Rice, Tom",South Carolina,House: 2013-Present,7,Republican,0.00,,
"Representative Richmond, Cedric L.",Louisiana,House: 2011-Present,2,Democratic,0.00,,
"Representative Rigell, E. Scott",Virginia,House: 2011-2017,2,Republican,0.00,0,0
"Representative Riggleman, Denver",Virginia,House: 2019-Present,5,Republican,0.00,0,0
"Senator Risch, James E.",Idaho,Senate: 2009-Present,,Republican,0.00,,
"Senator Roberts, Pat",Kansas,Senate: 1997-Present | House: 1981-1997,,Republican,0.00,,
"Representative Roby, Martha",Alabama,House: 2011-Present,2,Republican,0.00,,
"Representative Roe, David P.",Tennessee,House: 2009-Present,1,Republican,0.00,,
"Representative Rogers, Harold",Kentucky,House: 1981-Present,5,Republican,0.00,,
"Representative Rogers, Mike D.",Alabama,House: 2003-Present,3,Republican,0.00,,
"Representative Rohrabacher, Dana",California,House: 1989-2019,48,Republican,0.00,0,0
"Representative Rokita, Todd",Indiana,House: 2011-2019,4,Republican,0.00,0,0
"Senator Romney, Mitt ",Utah,Senate: 2019-Present,,Republican,0.00,0,0
"Representative Rooney, Francis",Florida,House: 2017-Present,19,Republican,0.00,,
"Representative Rooney, Thomas J.",Florida,House: 2009-2019,17,Republican,0.00,0,0
"Representative Ros-Lehtinen, Ileana",Florida,House: 1989-2019,27,Republican,0.00,0,0
"Representative Rose, John W.",Tennessee,House: 2019-Present,6,Republican,0.00,0,0
"Representative Rose, Max",New York,House: 2019-Present,11,Democratic,0.00,0,0
"Senator Rosen, Jacky",Nevada,Senate: 2019-Present | House: 2017-2019,,Democratic,0.00,0,0
"Representative Roskam, Peter J.",Illinois,House: 2007-2019,6,Republican,0.00,0,0
"Representative Ross, Dennis A.",Florida,House: 2011-2019,15,Republican,0.00,0,0
"Representative Rothfus, Keith J.",Pennsylvania,House: 2013-2019,12,Republican,0.00,0,0
"Representative Rouda, Harley",California,House: 2019-Present,48,Democratic,0.00,0,0
"Senator Rounds, Mike ",South Dakota,Senate: 2015-Present,,Republican,0.00,,
"Representative Rouzer, David",North Carolina,House: 2015-Present,7,Republican,0.00,,
"Representative Roy, Chip",Texas,House: 2019-Present,21,Republican,0.00,,
"Representative Roybal-Allard, Lucille",California,House: 1993-Present,40,Democratic,0.00,,
"Representative Royce, Edward R.",California,House: 1993-2019,39,Republican,0.00,0,0
"Senator Rubio, Marco",Florida,Senate: 2011-Present,,Republican,0.00,,
"Representative Ruiz, Raul",California,House: 2013-Present,36,Democratic,0.00,,
"Representative Ruppersberger, C. A. Dutch",Maryland,House: 2003-Present,2,Democratic,0.00,,
"Representative Rush, Bobby L.",Illinois,House: 1993-Present,1,Democratic,0.00,,
"Representative Russell, Steve",Oklahoma,House: 2015-2019,5,Republican,0.00,0,0
"Representative Rutherford, John H.",Florida,House: 2017-Present,4,Republican,0.00,,
"Representative Ryan, Paul D.",Wisconsin,House: 1999-2019,1,Republican,0.00,0,0
"Representative Ryan, Tim",Ohio,House: 2003-Present,13,Democratic,0.00,,
"Representative Sablan, Gregorio Kilili Camacho",Northern Mariana Islands,House: 2009-Present,,Democratic,0.00,,
"Representative Salmon, Matt",Arizona,"House: 1995-2001, 2013-2017",5,Republican,0.00,,
"Representative San Nicolas, Michael F. Q.",Guam,House: 2019-Present,,Democratic,0.00,0,0
"Representative Sanchez, Linda T.",California,House: 2003-Present,38,Democratic,0.00,,
"Representative Sanchez, Loretta",California,House: 1997-2017,46,Democratic,0.00,0,0
"Senator Sanders, Bernard",Vermont,Senate: 2007-Present | House: 1991-2007,,Independent,0.00,,
"Representative Sanford, Mark",South Carolina,"House: 1995-2001, 2013-2019",1,Republican,0.00,0,0
"Representative Sarbanes, John P.",Maryland,House: 2007-Present,3,Democratic,0.00,,
"Senator Sasse, Ben ",Nebraska,Senate: 2015-Present,,Republican,0.00,,
"Representative Scalise, Steve",Louisiana,House: 2008-Present,1,Republican,0.00,,
"Representative Scanlon, Mary Gay",Pennsylvania,House: 2018-Present,5,Democratic,0.00,,
"Representative Schakowsky, Janice D.",Illinois,House: 1999-Present,9,Democratic,0.00,,
"Senator Schatz, Brian",Hawaii,Senate: 2012-Present,,Democratic,0.00,,
"Representative Schiff, Adam B.",California,House: 2001-Present,28,Democratic,0.00,,
"Representative Schneider, Bradley Scott",Illinois,"House: 2013-2015, 2017-Present",10,Democratic,0.00,,
"Representative Schock, Aaron",Illinois,House: 2009-2015,18,Republican,0.00,0,0
"Representative Schrader, Kurt",Oregon,House: 2009-Present,5,Democratic,0.00,,
"Representative Schrier, Kim",Washington,House: 2019-Present,8,Democratic,0.00,,
"Senator Schumer, Charles E.",New York,Senate: 1999-Present | House: 1981-1999,,Democratic,0.00,,
"Representative Schweikert, David",Arizona,House: 2011-Present,6,Republican,0.00,,
"Representative Scott, Austin",Georgia,House: 2011-Present,8,Republican,0.00,,
"Representative Scott, David",Georgia,House: 2003-Present,13,Democratic,0.00,,
"Senator Scott, Rick ",Florida,Senate: 2019-Present,,Republican,0.00,,
"Representative Scott, Robert C. ""Bobby""",Virginia,House: 1993-Present,3,Democratic,0.00,,
"Senator Scott, Tim",South Carolina,Senate: 2013-Present | House: 2011-2013,,Republican,0.00,,
"Representative Sensenbrenner, F. James, Jr.",Wisconsin,House: 1979-Present,5,Republican,0.00,,
"Representative Serrano, Jose E.",New York,House: 1989-Present,15,Democratic,0.00,,
"Senator Sessions, Jeff",Alabama,Senate: 1997-2017,,Republican,0.00,0,0
"Representative Sessions, Pete",Texas,House: 1997-2019,32,Republican,0.00,0,0
"Representative Sewell, Terri A.",Alabama,House: 2011-Present,7,Democratic,0.00,,
"Senator Shaheen, Jeanne",New Hampshire,Senate: 2009-Present,,Democratic,0.00,,
"Representative Shalala, Donna E.",Florida,House: 2019-Present,27,Democratic,0.00,0,0
"Representative Shea-Porter, Carol",New Hampshire,"House: 2007-2011, 2013-2015, 2017-2019",1,Democratic,0.00,,
"Senator Shelby, Richard C.",Alabama,Senate: 1987-Present | House: 1979-1987,,Republican,0.00,,
"Representative Sherman, Brad",California,House: 1997-Present,30,Democratic,0.00,,
"Representative Sherrill, Mikie",New Jersey,House: 2019-Present,11,Democratic,0.00,0,0
"Representative Shimkus, John",Illinois,House: 1997-Present,15,Republican,0.00,,
"Representative Shuster, Bill",Pennsylvania,House: 2001-2019,9,Republican,0.00,0,0
"Representative Simpson, Michael K.",Idaho,House: 1999-Present,2,Republican,0.00,,
"Senator Sinema, Kyrsten",Arizona,Senate: 2019-Present | House: 2013-2019,,Democratic,0.00,0,0
"Representative Sires, Albio",New Jersey,House: 2005-Present,8,Democratic,0.00,,
"Representative Slaughter, Louise McIntosh",New York,House: 1987-2018,25,Democratic,0.00,,
"Representative Slotkin, Elissa",Michigan,House: 2019-Present,8,Democratic,0.00,0,0
"Representative Smith, Adam",Washington,House: 1997-Present,9,Democratic,0.00,,
"Representative Smith, Adrian",Nebraska,House: 2007-Present,3,Republican,0.00,,
"Representative Smith, Christopher H.",New Jersey,House: 1981-Present,4,Republican,0.00,,
"Representative Smith, Jason",Missouri,House: 2013-Present,8,Republican,0.00,,
"Representative Smith, Lamar",Texas,House: 1987-2019,21,Republican,0.00,0,0
"Senator Smith, Tina ",Minnesota,Senate: 2018-Present,,Democratic,0.00,,
"Representative Smucker, Lloyd",Pennsylvania,House: 2017-Present,11,Republican,0.00,,
"Representative Soto, Darren",Florida,House: 2017-Present,9,Democratic,0.00,,
"Representative Spanberger, Abigail Davis",Virginia,House: 2019-Present,7,Democratic,0.00,0,0
"Representative Spano, Ross",Florida,House: 2019-Present,15,Republican,0.00,0,0
"Representative Speier, Jackie",California,House: 2008-Present,14,Democratic,0.00,,
"Senator Stabenow, Debbie",Michigan,Senate: 2001-Present | House: 1997-2001,,Democratic,0.00,,
"Representative Stanton, Greg",Arizona,House: 2019-Present,9,Democratic,0.00,0,0
"Representative Stauber, Pete",Minnesota,House: 2019-Present,8,Republican,0.00,0,0
"Representative Stefanik, Elise M.",New York,House: 2015-Present,21,Republican,0.00,,
"Representative Steil, Bryan",Wisconsin,House: 2019-Present,1,Republican,0.00,0,0
"Representative Steube, W. Gregory",Florida,House: 2019-Present,17,Republican,0.00,0,0
"Representative Stevens, Haley M.",Michigan,House: 2019-Present,11,Democratic,0.00,0,0
"Representative Stewart, Chris",Utah,House: 2013-Present,2,Republican,0.00,,
"Representative Stivers, Steve",Ohio,House: 2011-Present,15,Republican,0.00,,
"Senator Strange, Luther",Alabama,Senate: 2017-2018,,Republican,0.00,0,0
"Representative Stutzman, Marlin A.",Indiana,House: 2010-2017,3,Republican,0.00,0,0
"Senator Sullivan, Dan ",Alaska,Senate: 2015-Present,,Republican,0.00,,
"Representative Suozzi, Thomas R.",New York,House: 2017-Present,3,Democratic,0.00,,
"Representative Swalwell, Eric",California,House: 2013-Present,15,Democratic,0.00,,
"Representative Takai, Mark",Hawaii,House: 2015-2016,1,Democratic,0.00,,
"Representative Takano, Mark",California,House: 2013-Present,41,Democratic,0.00,,
"Representative Taylor, Scott",Virginia,House: 2017-2019,2,Republican,0.00,0,0
"Representative Taylor, Van",Texas,House: 2019-Present,3,Republican,0.00,0,0
"Representative Tenney, Claudia",New York,House: 2017-2019,22,Republican,0.00,0,0
"Senator Tester, Jon",Montana,Senate: 2007-Present,,Democratic,0.00,,
"Representative Thompson, Bennie G.",Mississippi,House: 1993-Present,2,Democratic,0.00,,
"Representative Thompson, Glenn",Pennsylvania,House: 2009-Present,15,Republican,0.00,,
"Representative Thompson, Mike",California,House: 1999-Present,5,Democratic,0.00,,
"Representative Thornberry, Mac",Texas,House: 1995-Present,13,Republican,0.00,,
"Senator Thune, John",South Dakota,Senate: 2005-Present | House: 1997-2003,,Republican,0.00,,
"Representative Tiberi, Patrick J.",Ohio,House: 2001-2018,12,Republican,0.00,0,0
"Senator Tillis, Thom",North Carolina,Senate: 2015-Present,,Republican,0.00,,
"Representative Timmons, William R. IV",South Carolina,House: 2019-Present,4,Republican,0.00,,
"Representative Tipton, Scott  R.",Colorado,House: 2011-Present,3,Republican,0.00,,
"Representative Titus, Dina",Nevada,"House: 2009-2011, 2013-Present",1,Democratic,0.00,,
"Representative Tlaib, Rashida",Michigan,House: 2019-Present,13,Democratic,0.00,0,0
"Representative Tonko, Paul",New York,House: 2009-Present,20,Democratic,0.00,,
"Senator Toomey, Pat",Pennsylvania,Senate: 2011-Present | House: 1999-2005,,Republican,0.00,,
"Representative Torres Small, Xochitl",New Mexico,House: 2019-Present,2,Democratic,0.00,0,0
"Representative Torres, Norma J.",California,House: 2015-Present,35,Democratic,0.00,,
"Representative Trahan, Lori",Massachusetts,House: 2019-Present,3,Democratic,0.00,0,0
"Representative Trone, David J.",Maryland,House: 2019-Present,6,Democratic,0.00,0,0
"Representative Trott, David A.",Michigan,House: 2015-2019,11,Republican,0.00,0,0
"Representative Tsongas, Niki",Massachusetts,House: 2007-2019,3,Democratic,0.00,0,0
"Representative Turner, Michael R.",Ohio,House: 2003-Present,10,Republican,0.00,,
"Senator Udall, Tom",New Mexico,Senate: 2009-Present | House: 1999-2009,,Democratic,0.00,,
"Representative Underwood, Lauren",Illinois,House: 2019-Present,14,Democratic,0.00,0,0
"Representative Upton, Fred",Michigan,House: 1987-Present,6,Republican,0.00,,
"Representative Valadao, David G.",California,House: 2013-2019,21,Republican,0.00,0,0
"Representative Van Drew, Jefferson",New Jersey,House: 2019-Present,2,Democratic,0.00,0,0
"Senator Van Hollen, Chris",Maryland,Senate: 2017-Present | House: 2003-2017,,Democratic,0.00,,
"Representative Vargas, Juan",California,House: 2013-Present,51,Democratic,0.00,,
"Representative Veasey, Marc A.",Texas,House: 2013-Present,33,Democratic,0.00,,
"Representative Vela, Filemon",Texas,House: 2013-Present,34,Democratic,0.00,,
"Representative Velazquez, Nydia M.",New York,House: 1993-Present,7,Democratic,0.00,,
"Representative Visclosky, Peter J.",Indiana,House: 1985-Present,1,Democratic,0.00,,
"Senator Vitter, David",Louisiana,Senate: 2005-2017 | House: 1999-2005,,Republican,0.00,0,0
"Representative Wagner, Ann",Missouri,House: 2013-Present,2,Republican,0.00,,
"Representative Walberg, Tim",Michigan,"House: 2007-2009, 2011-Present",7,Republican,0.00,,
"Representative Walden, Greg",Oregon,House: 1999-Present,2,Republican,0.00,,
"Representative Walker, Mark",North Carolina,House: 2015-Present,6,Republican,0.00,,
"Representative Walorski, Jackie",Indiana,House: 2013-Present,2,Republican,0.00,,
"Representative Walters, Mimi",California,House: 2015-2019,45,Republican,0.00,0,0
"Representative Waltz, Michael",Florida,House: 2019-Present,6,Republican,0.00,0,0
"Representative Walz, Timothy J.",Minnesota,House: 2007-2019,1,Democratic,0.00,0,0
"Senator Warner, Mark R.",Virginia,Senate: 2009-Present,,Democratic,0.00,,
"Senator Warren, Elizabeth",Massachusetts,Senate: 2013-Present,,Democratic,0.00,,
"Representative Wasserman Schultz, Debbie",Florida,House: 2005-Present,23,Democratic,0.00,,
"Representative Waters, Maxine",California,House: 1991-Present,43,Democratic,0.00,,
"Representative Watkins, Steve",Kansas,House: 2019-Present,2,Republican,0.00,,
"Representative Watson Coleman, Bonnie",New Jersey,House: 2015-Present,12,Democratic,0.00,,
"Representative Weber, Randy K., Sr.",Texas,House: 2013-Present,14,Republican,0.00,,
"Representative Webster, Daniel",Florida,House: 2011-Present,11,Republican,0.00,,
"Representative Welch, Peter",Vermont,House: 2007-Present,,Democratic,0.00,,
"Representative Wenstrup, Brad R.",Ohio,House: 2013-Present,2,Republican,0.00,,
"Representative Westerman, Bruce",Arkansas,House: 2015-Present,4,Republican,0.00,,
"Representative Westmoreland, Lynn A.",Georgia,House: 2005-2017,3,Republican,0.00,0,0
"Representative Wexton, Jennifer",Virginia,House: 2019-Present,10,Democratic,0.00,,
"Senator Whitehouse, Sheldon",Rhode Island,Senate: 2007-Present,,Democratic,0.00,,
"Representative Whitfield, Ed",Kentucky,House: 1995-2016,1,Republican,0.00,0,0
"Senator Wicker, Roger F.",Mississippi,Senate: 2007-Present | House: 1995-2007,,Republican,0.00,,
"Representative Wild, Susan",Pennsylvania,House: 2018-Present,7,Democratic,0.00,,
"Representative Williams, Roger",Texas,House: 2013-Present,25,Republican,0.00,,
"Representative Wilson, Frederica S.",Florida,House: 2011-Present,24,Democratic,0.00,,
"Representative Wilson, Joe",South Carolina,House: 2001-Present,2,Republican,0.00,,
"Representative Wittman, Robert J.",Virginia,House: 2007-Present,1,Republican,0.00,,
"Representative Womack, Steve",Arkansas,House: 2011-Present,3,Republican,0.00,,
"Representative Woodall, Rob",Georgia,House: 2011-Present,7,Republican,0.00,,
"Representative Wright, Ron",Texas,House: 2019-Present,6,Republican,0.00,0,0
"Senator Wyden, Ron",Oregon,Senate: 1996-Present | House: 1981-1996,,Democratic,0.00,,
"Representative Yarmuth, John A.",Kentucky,House: 2007-Present,3,Democratic,0.00,,
"Representative Yoder, Kevin",Kansas,House: 2011-2019,3,Republican,0.00,0,0
"Representative Yoho, Ted S.",Florida,House: 2013-Present,3,Republican,0.00,,
"Representative Young, David",Iowa,House: 2015-2019,3,Republican,0.00,0,0
"Representative Young, Don",Alaska,House: 1973-Present,,Republican,0.00,,
"Senator Young, Todd",Indiana,Senate: 2017-Present | House: 2011-2017,,Republican,0.00,,
"Representative Zeldin, Lee M.",New York,House: 2015-Present,1,Republican,0.00,,
"Representative Zinke, Ryan K.",Montana,House: 2015-2017,,Republican,0.00,0,0
